ID,circname
0,hsa_circ_0081125
1,hsa_circ_0022589
2,hsa_circ_0081156
3,hsa_circ_0081130
4,hsa_circ_0081134
5,hsa_circ_0067989
6,hsa_circ_0081074
7,hsa_circ_0068008
8,hsa_circ_0087857
9,hsa_circ_0067991
10,hsa_circ_0001564
11,hsa_circ_0081620
12,hsa_circ_0085535
13,hsa_circ_0081101
14,hsa_circ_0040798
15,hsa_circ_0094249
16,hsa_circ_0006156
17,hsa_circ_0081123
18,hsa_circ_0071603
19,hsa_circ_0081140
20,hsa_circ_0067975
21,hsa_circ_0081629
22,hsa_circ_0035840
23,hsa_circ_0081615
24,hsa_circ_0104222
25,hsa_circ_0068013
26,hsa_circ_0087855
27,hsa_circ_0059655
28,hsa_circ_0081062
29,hsa_circ_0001361
30,hsa_circ_0040804
31,hsa_circ_0093234
32,hsa_circ_0081080
33,hsa_circ_0081167
34,hsa_circ_0017870
35,hsa_circ_0081084
36,hsa_circ_0081085
37,hsa_circ_0081073
38,hsa_circ_0081145
39,hsa_circ_0067998
40,hsa_circ_0081606
41,hsa_circ_0081099
42,hsa_circ_0068000
43,hsa_circ_0068005
44,hsa_circ_0081096
45,hsa_circ_0067966
46,hsa_circ_0017878
47,hsa_circ_0058106
48,hsa_circ_0071590
49,hsa_circ_0081614
50,hsa_circ_0081102
51,hsa_circ_0000221
52,hsa_circ_0081069
53,hsa_circ_0081138
54,hsa_circ_0093233
55,hsa_circ_0005253
56,hsa_circ_0035838
57,hsa_circ_0092283
58,hsa_circ_0054595
59,hsa_circ_0125965
60,hsa_circ_0068006
61,hsa_circ_0081153
62,hsa_circ_0081122
63,hsa_circ_0081093
64,hsa_circ_0081619
65,hsa_circ_0067980
66,hsa_circ_0040799
67,hsa_circ_0054597
68,hsa_circ_0081164
69,hsa_circ_0087852
70,hsa_circ_0081152
71,hsa_circ_0068002
72,hsa_circ_0081081
73,hsa_circ_0008812
74,hsa_circ_0081611
75,hsa_circ_0017877
76,hsa_circ_0087856
77,hsa_circ_0081118
78,hsa_circ_0081632
79,hsa_circ_0081617
80,hsa_circ_0040794
81,hsa_circ_0122727
82,hsa_circ_0008225
83,hsa_circ_0067983
84,hsa_circ_0067979
85,hsa_circ_0093232
86,hsa_circ_0071614
87,hsa_circ_0071601
88,hsa_circ_0081132
89,hsa_circ_0003692
90,hsa_circ_0132813
91,hsa_circ_0087858
92,hsa_circ_0081054
93,hsa_circ_0085534
94,hsa_circ_0068010
95,hsa_circ_0071589
96,hsa_circ_0067982
97,hsa_circ_0071591
98,hsa_circ_0009039
99,hsa_circ_0018966
100,hsa_circ_0096071
101,hsa_circ_0081126
102,hsa_circ_0022583
103,hsa_circ_0035839
104,hsa_circ_0017875
105,hsa_circ_0085533
106,hsa_circ_0081128
107,hsa_circ_0040803
108,hsa_circ_0040797
109,hsa_circ_0040793
110,hsa_circ_0002346
111,hsa_circ_0022585
112,hsa_circ_0093230
113,hsa_circ_0007271
114,hsa_circ_0071608
115,hsa_circ_0044520
116,hsa_circ_0000799
117,hsa_circ_0081112
118,hsa_circ_0068004
119,hsa_circ_0081104
120,hsa_circ_0081627
121,hsa_circ_0022577
122,hsa_circ_0022581
123,hsa_circ_0005700
124,hsa_circ_0017884
125,hsa_circ_0092313
126,hsa_circ_0071611
127,hsa_circ_0071595
128,hsa_circ_0120377
129,hsa_circ_0087860
130,hsa_circ_0018963
131,hsa_circ_0081072
132,hsa_circ_0022587
133,hsa_circ_0081105
134,hsa_circ_0081079
135,hsa_circ_0081107
136,hsa_circ_0081097
137,hsa_circ_0067969
138,hsa_circ_0067996
139,hsa_circ_0081086
140,hsa_circ_0081166
141,hsa_circ_0017866
142,hsa_circ_0001880
143,hsa_circ_0067965
144,hsa_circ_0081089
145,hsa_circ_0000615
146,hsa_circ_0081076
147,hsa_circ_0081622
148,hsa_circ_0007386
149,hsa_circ_0132814
150,hsa_circ_0006948
151,hsa_circ_0054596
152,hsa_circ_0017880
153,hsa_circ_0081624
154,hsa_circ_0081626
155,hsa_circ_0081623
156,hsa_circ_0081124
157,hsa_circ_0081612
158,hsa_circ_0081110
159,hsa_circ_0022572
160,hsa_circ_0017876
161,hsa_circ_0071600
162,hsa_circ_0022576
163,hsa_circ_0000172
164,hsa_circ_0017872
165,hsa_circ_0040795
166,hsa_circ_0044529
167,hsa_circ_0087854
168,hsa_circ_0081139
169,hsa_circ_0005844
170,hsa_circ_0054593
171,hsa_circ_0081147
172,hsa_circ_0067986
173,hsa_circ_0071592
174,hsa_circ_0068003
175,hsa_circ_0071613
176,hsa_circ_0081103
177,hsa_circ_0071593
178,hsa_circ_0017879
179,hsa_circ_0081607
180,hsa_circ_0035563
181,hsa_circ_0081078
182,hsa_circ_0081136
183,hsa_circ_0081628
184,hsa_circ_0081159
185,hsa_circ_0081616
186,hsa_circ_0081113
187,hsa_circ_0094251
188,hsa_circ_0022579
189,hsa_circ_0017868
190,hsa_circ_0061346
191,hsa_circ_0081075
192,hsa_circ_0081148
193,hsa_circ_0067970
194,hsa_circ_0081106
195,hsa_circ_0091894
196,hsa_circ_0004900
197,hsa_circ_0081613
198,hsa_circ_0071594
199,hsa_circ_0071596
200,hsa_circ_0081098
201,hsa_circ_0081087
202,hsa_circ_0071616
203,hsa_circ_0081088
204,hsa_circ_0067993
205,hsa_circ_0092012
206,hsa_circ_0081057
207,hsa_circ_0081077
208,hsa_circ_0081155
209,hsa_circ_0067990
210,hsa_circ_0006174
211,hsa_circ_0067978
212,hsa_circ_0092278
213,hsa_circ_0122724
214,hsa_circ_0081131
215,hsa_circ_0081121
216,hsa_circ_0017882
217,hsa_circ_0040802
218,hsa_circ_0122728
219,hsa_circ_0081625
220,hsa_circ_0067992
221,hsa_circ_0081618
222,hsa_circ_0081064
223,hsa_circ_0071599
224,hsa_circ_0058092
225,hsa_circ_0018965
226,hsa_circ_0081061
227,hsa_circ_0007099
228,hsa_circ_0071615
229,hsa_circ_0081083
230,hsa_circ_0081610
231,hsa_circ_0081135
232,hsa_circ_0018968
233,hsa_circ_0071605
234,hsa_circ_0084606
235,hsa_circ_0067973
236,hsa_circ_0068009
237,hsa_circ_0068012
238,hsa_circ_0001461
239,hsa_circ_0081065
240,hsa_circ_0002422
241,hsa_circ_0022591
242,hsa_circ_0120381
243,hsa_circ_0081133
244,hsa_circ_0087863
245,hsa_circ_0017881
246,hsa_circ_0081149
247,hsa_circ_0081609
248,hsa_circ_0018969
249,hsa_circ_0007148
250,hsa_circ_0067995
251,hsa_circ_0081114
252,hsa_circ_0071606
253,hsa_circ_0067985
254,hsa_circ_0008494
255,hsa_circ_0081144
256,hsa_circ_0008957
257,hsa_circ_0081058
258,hsa_circ_0007984
259,hsa_circ_0006501
260,hsa_circ_0017883
261,hsa_circ_0132817
262,hsa_circ_0081633
